;miR-21a-3p
D1_P_M;42,53683976
D2_P_M;64,71246336
D3_P_M;143,283199
D4_P_M;29,55168816
D5_P_M;45,611911
D6_P_M;6,511300655
D7_P_M;44,62576261
D8_P_M;17,66407441
D9_P_M;51,95432087
D10_P_M;27,58077926
D15_M_MP;0
D21_M_MP;30,50814231
D22_M_MP;10,70517971
D24_M_MP;26,92495023
D46_M_MP;0
D48_M_MP;38,61002069
D50_M_MP;69,90900973
D52_M_MP;90,19691831
D57_M_MP;0
D60_M_MP;90,51061616
D12_M_MPP;310,8719594
D13_M_MPP;103,6008284
D20_M_MPP;46,12203001
D47_M_MPP;120,6055039
D61_M_MPP;0
D25_M_I;0
D45_M_I;14,74312635
D53_M_I;144,5753503
D56_M_I;10,03394016
D27_G_F;13,52810797
D28_G_F;5,700723512
D29_G_F;0
D31_G_F;6,452125272
D35_G_F;18,16149769
D36_G_F;11,8586911
D38_G_F;0
D41_G_F;22,20576791
D44_G_F;5,966950759