;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
a80_gac-miR-144-3p;683.375549626792;2.44874973755227;0.536941057462233;4.56055595585462;5.10183646172297e-06;0.000568854765482111
a187_gac-let-7a-5p_gac-let-7c-2-5p;2737.69693216241;-1.15811957227674;0.249381684495147;-4.64396402895932;3.41787095047115e-06;0.000568854765482111
a229_gac-miR-27a-3p;367.483002523745;1.61323893022399;0.368409953413869;4.37892330344205;1.19267093544073e-05;0.000886552062010944
a123_gac-miR-122-5p;163858.453857349;-3.06993722133762;0.773605495504439;-3.96834981030717;7.23720463056788e-05;0.00403474158154159
a66_gac-miR-142-5p;697.232080893101;1.8864431863605;0.495258188549308;3.80900958323616;0.00013952455073664;0.00622279496285417
a214_gac-miR-30e-5p;2841.55664704522;1.27598720179578;0.343863563374205;3.71073686689859;0.000206656827553071;0.00658349607776211
a175_gac-miR-125b-2/3-5p;83009.189606142;-1.2166821165065;0.324975307513781;-3.74392173305322;0.000181170108561248;0.00658349607776211
a101_gac-miR-204-2b-3p;12.1994140571464;-4.48571699638286;1.27260802542968;-3.52482218149482;0.000423767147806415;0.0118125092451038
a77_gac-miR-21a-3p;45.7318226172932;3.63011009798318;1.06818986443524;3.39837534397731;0.000677873472895969;0.0167961982728668
a218_gac-miR-142-3p;357.840475804565;1.75093568396252;0.538199785771489;3.2533191767303;0.0011406529607298;0.0254365610242746
a201_gac-miR-222c-5p;99.5341332772402;1.46953645323441;0.471301845236892;3.11803670638245;0.00182060127498974;0.0369085531202466
a10_gac-miR-99a-5p;19441.5560549408;-1.14438451242316;0.373366904017739;-3.06504004535118;0.00217640854048308;0.0404449253773105
a57_gac-miR-99a-3p;11.2209373711128;-4.39696662841067;1.47744298412315;-2.976065185365;0.00291972794108598;0.0440657875744877
a200_gac-miR-222a-5p;152.406243621968;1.58727734500338;0.534177794743919;2.97144014712237;0.0029640664287772;0.0440657875744877
a71_gac-miR-194a-3p;5.61306598896617;-5.73584824895106;1.90495830988565;-3.0110098573734;0.00260380399588278;0.0440657875744877