ID;Sex;Species;Species_VF;Stade
B11;M;Sea_bass;Bar;Immatures
B14;M;Sea_bass;Bar;Immatures
B17;M;Sea_bass;Bar;Immatures
B19;M;Sea_bass;Bar;Immatures
B27;F;Sea_bass;Bar;Immatures
B31;F;Sea_bass;Bar;Immatures
B9;F;Sea_bass;Bar;Immatures
O25;F;Red_drum;Ombrine;Immatures
O29;M;Red_drum;Ombrine;Immatures
O32;F;Red_drum;Ombrine;Immatures
O33;M;Red_drum;Ombrine;Immatures
O38;M;Red_drum;Ombrine;Immatures
O39;M;Red_drum;Ombrine;Immatures
O46;M;Red_drum;Ombrine;Immatures
O49;M;Red_drum;Ombrine;Immatures
O51;M;Red_drum;Ombrine;Immatures
O53;M;Red_drum;Ombrine;Immatures
O55;F;Red_drum;Ombrine;Immatures
O59;F;Red_drum;Ombrine;Immatures
O63;F;Red_drum;Ombrine;Immatures
T1;M;Turbot;Turbot;Immatures
T12;M;Turbot;Turbot;Immatures
T13;F;Turbot;Turbot;Immatures
T23;F;Turbot;Turbot;Immatures
T26;F;Turbot;Turbot;Immatures
T3;M;Turbot;Turbot;Immatures
T31;F;Turbot;Turbot;Immatures
T32;F;Turbot;Turbot;Immatures
T9;F;Turbot;Turbot;Immatures
B43;F;Sea_bass;Bar;Mature
B48;M;Sea_bass;Bar;Mature
B49;M;Sea_bass;Bar;Mature
B54;F;Sea_bass;Bar;Mature
B59;M;Sea_bass;Bar;Mature
B60;F;Sea_bass;Bar;Mature
C13;M;Jack;Carangue;Mature
C15;M;Jack;Carangue;Mature
C17;F;Jack;Carangue;Mature
C19;F;Jack;Carangue;Mature
C20;M;Jack;Carangue;Mature
C31;F;Jack;Carangue;Mature
T41;M;Turbot;Turbot;Mature
T43;M;Turbot;Turbot;Mature
T44;F;Turbot;Turbot;Mature
T45;M;Turbot;Turbot;Mature
T47;F;Turbot;Turbot;Mature
T48;F;Turbot;Turbot;Mature
T61;F;Turbot;Turbot;Mature
T63;M;Turbot;Turbot;Mature
T69;M;Turbot;Turbot;Mature